  1444:         11   [0.0215, 999.27, 444.73]
  1448:         15   [0.0191, 1083.20, 364.80]
  1452:         10   [0.0269, 793.60, 658.40]
  1456:          7   [0.0192, 984.00, 472.00]
  1460:         13   [0.0224, 914.77, 545.23]
  1464:         17   [0.0240, 897.41, 566.59]
  1468:         10   [0.0255, 1155.60, 312.40]
  1472:         16   [0.0182, 1154.00, 318.00]
  1476:         16   [0.0234, 987.50, 488.50]
  1480:         10   [0.0287, 1072.80, 407.20]
  1484:          6   [0.0201, 955.33, 528.67]
  1488:          9   [0.0206, 1118.22, 369.78]
  1492:          8   [0.0145, 1162.00, 330.00]
  1496:         12   [0.0274, 1137.33, 358.67]
  1499:        290   [0.0250, 902.37, 760.86]
best configs (bad, cells):
